title,company,location,work_type,level,compensation,link,id,classification
Staff Machine Learning Engineer (AI Platform),Smartly,"Berlin, DEU",Hybrid,Senior level,,https://builtin.com/job/staff-machine-learning-engineer-ai-product-lab/4438582,4438582,ai_first
Senior Machine Learning Engineer (AI Platform),Smartly,"Berlin, DEU",Hybrid,Senior level,,https://builtin.com/job/senior-machine-learning-engineer-ai-platform/7472570,7472570,ai_first
Senior Software Engineer (AI Platform),Smartly,"Berlin, DEU",Hybrid,Senior level,,https://builtin.com/job/senior-software-engineer-ai-platform/7593375,7593375,ai_support
Principal AI Developer Technology Engineer,NVIDIA,2 Locations,In-Office or Remote,Expert/Leader,,https://builtin.com/job/principal-ai-developer-technology-engineer/8314040,8314040,ai_first
AI Developer Technology Engineer,NVIDIA,2 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/ai-developer-technology-engineer/8314056,8314056,ai_first
AI Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/ai-engineer/8273513,8273513,ai_first
Senior AI Engineer (Libra - Legal AI Assistant) (m/f/d),Wolters Kluwer,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer-libra-legal-ai-assistant/8276358,8276358,ai_first
(Senior) AI Engineer (m/f/d),Flip (getflip.com),30 Locations,In-Office or Remote,Senior level,,https://builtin.com/job/senior-ai-engineer-m-f-d/7203472,7203472,ai_first
Customer AI Engineer,telli,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/customer-engineer-ai/7643852,7643852,ai_first
AI Engineer,Flank,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/ai-engineer/7132625,7132625,ai_first
Applied AI Engineer,boam,4 Locations,In-Office,Mid level,,https://builtin.com/job/applied-ai-engineer/8249839,8249839,ai_first
"Senior AI Engineer, Device Intelligence (m/f/d)",Danaher Corporation,DEU,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer-device-intelligence-m-f-d/8337222,8337222,ai_first
"Senior AI Engineer, Device Intelligence (m/f/d)",Beckman Coulter Diagnostics,DEU,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer-device-intelligence-m-f-d/8336059,8336059,ai_first
Senior AI Engineer,RepRisk,"Berlin, DEU",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer/7595940,7595940,ai_first
"Staff Fullstack Engineer (Python/Vue.js), AI Engineering: Duo Chat",GitLab,31 Locations,Remote,Mid level,,https://builtin.com/job/staff-fullstack-engineer-python-vue-js-ai-engineering-duo-chat/7374624,7374624,ai_support
Senior AI Engineer,QIC Digital Hub,6 Locations,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7409635,7409635,ai_first
AI Engineer,QuantCo,28 Locations,Hybrid,Mid level,,https://builtin.com/job/ai-engineer/7208514,7208514,ai_first
Senior AI Engineer,Horizons,28 Locations,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7906345,7906345,ai_first
Senior AI Engineer,Bluefish,"Berlin, DEU",In-Office or Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7825632,7825632,ai_first
Staff AI Engineer,Bluefish,"Berlin, DEU",In-Office or Remote,Senior level,,https://builtin.com/job/staff-ai-engineer/7828454,7828454,ai_first
Junior AI Engineer,Nelly Solutions,"Berlin, DEU",Hybrid,Junior,,https://builtin.com/job/junior-ai-engineer/8057435,8057435,ai_first
AI Engineer,Counsel Group Frankfurt,Germany,Remote,Junior,,https://builtin.com/job/ai-engineer/8305325,8305325,ai_first
AI Engineer,Knowunity,"Berlin, DEU",In-Office,Mid level,,https://builtin.com/job/ai-engineer/7525829,7525829,ai_first
Full Stack AI Engineer,Xsolla,2 Locations,Hybrid,Junior,,https://builtin.com/job/full-stack-ai-engineer/7521540,7521540,ai_first
AI Engineer,G2i,28 Locations,,Mid level,80K-120K Annually,https://builtin.com/job/ai-engineer/6952071,6952071,ai_first
